Organization,Orgn,District,Dist,Type,Desc,Des,TotalHH,Status,DaysSinceQuake,Population,Death,Injuries,PrivPop_Full,PrivPop_Partial,PrivProp
AAR Japan,AAR Japan,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,1299,Completed,21,336067,679,1218,81313,3092,84405
AAR Japan,AAR Japan,Dhading,Dhading,Non-Food Items,Blankets,Blankets,1299,Completed,21,336067,679,1218,81313,3092,84405
ACF,ACF,Nuwakot,Nuwakot,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),,Ongoing / In Country Stock,37,277471,1109,1050,75562,4200,79762
ACF,ACF,Nuwakot,Nuwakot,Shelter,Tarpaulin,Tarpaulin,,Ongoing / In Country Stock,37,277471,1109,1050,75562,4200,79762
ACF,ACF,Rasuwa,Rasuwa,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),,Ongoing / In Country Stock,34,43300,660,771,11368,267,11635
ACF,ACF,Rasuwa,Rasuwa,Shelter,Tarpaulin,Tarpaulin,,Ongoing / In Country Stock,34,43300,660,771,11368,267,11635
ACF,ACF,Rasuwa,Rasuwa,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),,Ongoing / In Country Stock,32,43300,660,771,11368,267,11635
ACF,ACF,Rasuwa,Rasuwa,Shelter,Tarpaulin,Tarpaulin,,Ongoing / In Country Stock,32,43300,660,771,11368,267,11635
ACF,ACF,Nuwakot,Nuwakot,Shelter,Tarpaulin,Tarpaulin,,Ongoing / In Country Stock,39,277471,1109,1050,75562,4200,79762
ACF,ACF,Nuwakot,Nuwakot,Shelter,Tool Kits,Tool Kits,,Ongoing / In Country Stock,39,277471,1109,1050,75562,4200,79762
ACTED,ACTED,Dolakha,Dolakha,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),650,Completed,47,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,Tarpaulin,Tarpaulin,20,Completed,18,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Non-Food Items,Blankets,Blankets,650,Completed,47,186557,177,662,48880,3120,52000
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,522,Completed,80,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,290,Completed,81,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,3,Completed,81,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),210,Completed,85,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tarpaulin,Tarpaulin,210,Completed,85,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Non-Food Items,Blankets,Blankets,210,Completed,85,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tool Kits,Tool Kits,210,Completed,85,105886,22,100,9172,11137,20309
ACTED,ACTED,Dolakha,Dolakha,Shelter,Tarpaulin,Tarpaulin,1087,Completed,21,186557,177,662,48880,3120,52000
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),220,Completed,87,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tarpaulin,Tarpaulin,219,Completed,87,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Non-Food Items,Blankets,Blankets,228,Completed,87,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tool Kits,Tool Kits,220,Completed,87,105886,22,100,9172,11137,20309
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),127,Completed,67,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),56,Completed,67,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),140,Completed,69,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),90,Completed,69,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),151,Completed,71,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),160,Completed,72,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),74,Completed,72,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),75,Completed,74,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),58,Completed,74,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),1074,Ongoing / In Country Stock,100,186557,177,662,48880,3120,52000
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tarpaulin,Tarpaulin,15,Completed,18,105886,22,100,9172,11137,20309
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,11,Completed,16,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),225,Completed,88,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tarpaulin,Tarpaulin,225,Completed,88,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Non-Food Items,Blankets,Blankets,225,Completed,88,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tool Kits,Tool Kits,225,Completed,88,105886,22,100,9172,11137,20309
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,106,Completed,16,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,877,Completed,16,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,300,Completed,25,336067,679,1218,81313,3092,84405
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,133,Completed,22,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),555,Ongoing / In Country Stock,107,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Non-Food Items,Household kits (excluding tarpaulins),Household kits (excluding tarpaulins),350,Completed,48,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),492,Completed,94,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),18,Completed,101,186557,177,662,48880,3120,52000
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),217,Completed,79,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Shelter,Tarpaulin,Tarpaulin,217,Completed,79,105886,22,100,9172,11137,20309
ACTED,ACTED,Solukhumbu,Solukhumbu,Non-Food Items,Blankets,Blankets,217,Completed,77,105886,22,100,9172,11137,20309
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,250,Completed,24,336067,679,1218,81313,3092,84405
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),712,Planned (funded),133,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,Tarpaulin,Tarpaulin,780,Completed,21,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),224,Completed,75,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),20,Completed,75,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),318,Completed,60,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),199,Completed,61,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),220,Completed,61,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),138,Completed,61,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),158,Completed,61,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),22,Completed,61,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),191,Completed,62,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),159,Completed,62,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),78,Completed,65,186557,177,662,48880,3120,52000
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),228,Completed,66,186557,177,662,48880,3120,52000
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,864,Completed,22,336067,679,1218,81313,3092,84405
ACTED,ACTED,Kathmandu,Kathmandu,Shelter,Tarpaulin,Tarpaulin,100,Completed,7,1744240,1229,7950,43805,55131,98936
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,329,Completed,73,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Non-Food Items,Blankets,Blankets,329,Completed,73,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,166,Completed,74,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Non-Food Items,Blankets,Blankets,166,Completed,74,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,1430,Completed,24,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,570,Completed,26,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,300,Completed,25,336067,679,1218,81313,3092,84405
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,492,Ongoing / In Country Stock,102,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,650,Completed,24,336067,679,1218,81313,3092,84405
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,75,Completed,16,336067,679,1218,81313,3092,84405
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,100,Completed,16,336067,679,1218,81313,3092,84405
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,832,Completed,21,336067,679,1218,81313,3092,84405
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,60,Completed,30,336067,679,1218,81313,3092,84405
ACTED,ACTED,Dhading,Dhading,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),645,Ongoing / In Country Stock,84,336067,679,1218,81313,3092,84405
ACTED,ACTED,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),1075,Planned (funded),133,186557,177,662,48880,3120,52000
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,1688,Ongoing / In Country Stock,102,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Dhading,Dhading,Shelter,Tarpaulin,Tarpaulin,120,Completed,9,336067,679,1218,81313,3092,84405
ACTED,ACTED,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,489,Completed,76,287798,3553,1569,63885,2751,66636
ACTED,ACTED,Kathmandu,Kathmandu,Shelter,Tarpaulin,Tarpaulin,200,Completed,7,1744240,1229,7950,43805,55131,98936
ACTED,ACTED,Kathmandu,Kathmandu,Shelter,Tarpaulin,Tarpaulin,500,Completed,7,1744240,1229,7950,43805,55131,98936
ACTED,ACTED,Kathmandu,Kathmandu,Shelter,Tarpaulin,Tarpaulin,1000,Completed,9,1744240,1229,7950,43805,55131,98936
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Cash,Other Cash,Other Cash,50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,Tool Kits,Tool Kits,50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,Fixings,Fixings,50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Cash,Other Cash,Other Cash,,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,Tool Kits,Tool Kits,50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,Fixings,Fixings,50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Cash,Other Cash,Other Cash,,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,Tool Kits,Tool Kits,50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Lalitpur,Lalitpur,Shelter,Construction Materials (Excluding CGI and Fixings),Construction Materials (Excluding CGI and Fixings),50,Ongoing / In Country Stock,37,468132,180,3051,17444,8064,25508
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),230,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,Tool Kits,Tool Kits,230,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,Fixings,Fixings,230,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Cash,Other Cash,Other Cash,230,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),270,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,Tool Kits,Tool Kits,270,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,Fixings,Fixings,270,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Cash,Other Cash,Other Cash,270,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),500,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,Tool Kits,Tool Kits,500,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Shelter,Fixings,Fixings,500,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Dolakha,Dolakha,Cash,Other Cash,Other Cash,500,Ongoing / In Country Stock,37,186557,177,662,48880,3120,52000
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),898,Completed,6,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Tool Kits,Tool Kits,898,Completed,6,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Fixings,Fixings,898,Completed,6,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Cash,Other Cash,Other Cash,898,Completed,6,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),702,Completed,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Tool Kits,Tool Kits,702,Completed,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Fixings,Fixings,702,Completed,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Cash,Other Cash,Other Cash,702,Completed,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,500,Completed,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),300,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Tool Kits,Tool Kits,300,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Fixings,Fixings,300,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Cash,Other Cash,Other Cash,300,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),350,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Tool Kits,Tool Kits,350,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Fixings,Fixings,350,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Cash,Other Cash,Other Cash,350,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),350,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Tool Kits,Tool Kits,350,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Fixings,Fixings,350,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Cash,Other Cash,Other Cash,350,Ongoing / In Country Stock,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Sindhupalchok,Sindhupalchok,Shelter,Tarpaulin,Tarpaulin,500,Completed,37,287798,3553,1569,63885,2751,66636
ActionAid Nepal,ActionAid Nepal,Rasuwa,Rasuwa,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),500,Ongoing / In Country Stock,37,43300,660,771,11368,267,11635
ActionAid Nepal,ActionAid Nepal,Rasuwa,Rasuwa,Shelter,Tool Kits,Tool Kits,500,Ongoing / In Country Stock,37,43300,660,771,11368,267,11635
ActionAid Nepal,ActionAid Nepal,Rasuwa,Rasuwa,Shelter,Fixings,Fixings,500,Ongoing / In Country Stock,37,43300,660,771,11368,267,11635
ActionAid Nepal,ActionAid Nepal,Rasuwa,Rasuwa,Cash,Other Cash,Other Cash,500,Ongoing / In Country Stock,37,43300,660,771,11368,267,11635
ActionAid Nepal,ActionAid Nepal,Rasuwa,Rasuwa,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),500,Ongoing / In Country Stock,37,43300,660,771,11368,267,11635
ActionAid Nepal,ActionAid Nepal,Rasuwa,Rasuwa,Shelter,Tool Kits,Tool Kits,500,Ongoing / In Country Stock,37,43300,660,771,11368,267,11635
ActionAid Nepal,ActionAid Nepal,Rasuwa,Rasuwa,Shelter,Fixings,Fixings,500,Ongoing / In Country Stock,37,43300,660,771,11368,267,11635
ActionAid Nepal,ActionAid Nepal,Rasuwa,Rasuwa,Cash,Other Cash,Other Cash,500,Ongoing / In Country Stock,37,43300,660,771,11368,267,11635
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),85,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tool Kits,Tool Kits,85,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Fixings,Fixings,85,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Cash,Other Cash,Other Cash,85,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tarpaulin,Tarpaulin,204,Completed,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),65,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tool Kits,Tool Kits,65,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Fixings,Fixings,65,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Cash,Other Cash,Other Cash,65,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tarpaulin,Tarpaulin,45,Completed,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),55,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tool Kits,Tool Kits,55,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Fixings,Fixings,55,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Cash,Other Cash,Other Cash,55,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tarpaulin,Tarpaulin,280,Completed,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),73,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tool Kits,Tool Kits,73,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Fixings,Fixings,73,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Cash,Other Cash,Other Cash,73,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tarpaulin,Tarpaulin,106,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,CGI Bundle (72ft/bundle),CGI Bundle (72ft/bundle),82,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
ActionAid Nepal,ActionAid Nepal,Kabhrepalanchok,Kabhrepalanchok,Shelter,Tool Kits,Tool Kits,82,Ongoing / In Country Stock,37,381937,318,1179,49933,23714,73647
